pos#strand#A#C#G#U
0#+#2001398#867335#982552#13960701
1#+#5721505#4521939#4679462#2889668
2#+#5361150#5051416#2692807#4707201
3#+#4833579#3089115#4863279#5026601
4#+#5122139#4095989#2818504#5775942
5#+#5138747#3805574#3646851#5221402
6#+#4646075#3680306#3873764#5612429
7#+#4462644#3763260#4036135#5550535
8#+#4576663#3566505#4521947#5147459
9#+#5240288#3425179#3957630#5189477
10#+#4270526#3721548#4080358#5739076
11#+#4303218#3729246#3891582#5888415
12#+#4302072#4184872#3992662#5332968
13#+#4354161#3906524#4414295#5137594
14#+#4734684#3874175#4253904#4949811
15#+#4386432#3841957#4467492#5116693
16#+#4184662#3844231#4445337#5338344
17#+#4574224#3844743#4609824#4783783
18#+#4507470#3553229#4573429#5178446
19#+#4705721#3675952#4455226#4975641
20#+#4593633#3579072#4462882#5176800
21#+#4334787#3928242#4334666#5214879
22#+#4089755#4030987#4916026#4775806
23#+#4408923#3826930#4292615#5284106
0#-#524994#269643#243578#1445519
1#-#838290#584928#582029#478531
2#-#731911#646800#462340#642727
3#-#750083#442359#590108#701228
4#-#779651#536317#451136#716674
5#-#760384#496928#512810#713656
6#-#739094#600477#448048#696159
7#-#619897#469189#641339#753353
8#-#560837#533687#723695#665559
9#-#1241352#308405#419384#514637
10#-#764713#533580#526234#659139
11#-#640485#575586#556594#711095
12#-#624426#572386#596102#690864
13#-#636452#539812#651722#655792
14#-#647943#558899#643120#633816
15#-#655255#545936#636358#646229
16#-#644731#561042#617604#660401
17#-#642972#553744#609322#677740
18#-#618508#555545#601801#707924
19#-#664177#548862#621563#649167
20#-#662752#555596#619008#646383
21#-#665406#550069#624240#644063
22#-#664305#563874#652299#603300
23#-#675067#549844#660486#598381
